Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Hyundai,2002,Accent,Hatchback,2002 Hyundai Accent GL,USED,Manual,"4 cyl, 1.5 L",Front,Unleaded,7.4 L / 100 km,113194,Silver / Black,"Brown Hill, VIC",4 cyl,Hatchback, 3 Doors, 5 Seats,7990
Holden,2016,Colorado,Ute / Tray,2016 Holden Colorado LS (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,9 L / 100 km,161520,Blue / -,"Lawnton, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,27999
Mitsubishi,2004,Outlander,SUV,2004 Mitsubishi Outlander LS,USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,12 L / 100 km,176715,Red / -,"Laverton North, VIC",4 cyl,SUV, 4 Doors, 5 Seats,8999
Mitsubishi,2020,Triton,Ute / Tray,2020 Mitsubishi Triton GLX,USED,Manual,"4 cyl, 2.4 L",Rear,Unleaded,11.4 L / 100 km,58700,Silver / Black,"Strathpine, QLD",4 cyl,Ute / Tray, 2 Doors, 2 Seats,25990
Jeep,2014,Grand,SUV,2014 Jeep Grand Cherokee Laredo (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5 L / 100 km,288924,White / -,"Williamstown North, VIC",6 cyl,SUV, 4 Doors, 5 Seats,15999
Mitsubishi,2018,Pajero,SUV,2018 Mitsubishi Pajero Sport Exceed (4X4) 7 Seat,USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,8 L / 100 km,90193,Blue / Black,"Geelong, VIC",4 cyl,SUV, 4 Doors, 7 Seats,44990
Holden,2010,Cruze,Sedan,2010 Holden Cruze CD,USED,Manual,"4 cyl, 2 L",Front,Diesel,5.7 L / 100 km,192000,Blue / -,"Rocklea, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,6999
Ford,2019,Escape,SUV,2019 Ford Escape Ambiente (awd),USED,Automatic,"4 cyl, 1.5 L",AWD,Premium,7.5 L / 100 km,100992,White / -,"North Geelong, VIC",4 cyl,SUV, 4 Doors, 5 Seats,25999
Mazda,2018,3,Hatchback,2018 Mazda 3 Maxx Sport,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,5.8 L / 100 km,32411,Black / Black,"Moorooka, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,20990
MG,2021,HS,SUV,2021 MG HS Essence Anfield Edition,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3 L / 100 km,22796,Silver / Black,"Kedron, QLD",4 cyl,SUV, 4 Doors, 5 Seats,33990
Renault,2020,Koleos,SUV,2020 Renault Koleos ZEN X-Tronic (4X2),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.1 L / 100 km,48013,Grey / Black,"Essendon Fields, VIC",4 cyl,SUV, 4 Doors, 5 Seats,31990
Skoda,2022,Scala,Hatchback,2022 Skoda Scala Signature 110TSI,USED,Automatic,"4 cyl, 1.5 L",Front,Premium,5.5 L / 100 km,1800,White / Black,"Geelong, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,34990
Nissan,2023,Qashqai,"Brighton Renault, Suzuki & Nissan New",2023 Nissan Qashqai TI 2-Tone,NEW,Automatic,"4 cyl, 1.3 L",Front,Premium,6.1 L / 100 km,10,Red / Black,"Bentleigh, VIC",4 cyl,SUV, 4 Doors, 5 Seats,52628
Mazda,2021,CX-3,SUV,2021 Mazda CX-3 Maxx Sport (awd),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,6.7 L / 100 km,19463,Grey / -,"Springwood, QLD",4 cyl,SUV, 4 Doors, 5 Seats,28990
Mitsubishi,2018,Triton,Ute / Tray,2018 Mitsubishi Triton GLX Plus (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,7.6 L / 100 km,73413,White / Grey,"Sebastopol, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,38990
GWM,2022,Haval,"Westpoint Haval, GWM, Mahindra, SsangYong",2022 GWM Haval Jolion Ultra Hybrid,NEW,Automatic,"4 cyl, 1.5 L",Front,Hybrid,5 L / 100 km,20,Black / -,"Moorooka, QLD",4 cyl,SUV, 4 Doors, 5 Seats,41485
Nissan,2022,Pathfinder,Rex Gorell Nissan New,2022 Nissan Pathfinder TI (4WD),DEMO,Automatic,"6 cyl, 3.5 L",4WD,Premium,10.5 L / 100 km,10,Silver / Black,"South Geelong, VIC",6 cyl,SUV, 4 Doors, 8 Seats,77970
MG,2021,HS,SUV,2021 MG HS Essence Anfield Edition,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3 L / 100 km,21705,Black / Black,"Kedron, QLD",4 cyl,SUV, 4 Doors, 5 Seats,33990
MG,2022,MG3,Browns Plains MG New,2022 MG MG3 Auto Excite (with Navigation),DEMO,Automatic,"4 cyl, 1.5 L",Front,Premium,6.7 L / 100 km,10,Silver / -,"Browns Plains, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,20990
Kia,2021,Cerato,Hatchback,2021 Kia Cerato Sport+ Safety Pack,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,54577,Red / Red,"Ballarat, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,32990
Toyota,2021,Fortuner,SUV,2021 Toyota Fortuner GXL,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,7.6 L / 100 km,16768,White / -,"Ballarat, VIC",4 cyl,SUV, 4 Doors, 7 Seats,62990
Hyundai,2010,Iload,Commercial,2010 Hyundai Iload Crew,USED,Manual,"4 cyl, 2.5 L",Rear,Diesel,8.5 L / 100 km,204634,Grey / Grey,"Ravenhall, VIC",4 cyl,Commercial, 4 Doors, 6 Seats,13999
Hyundai,2005,Terracan,SUV,2005 Hyundai Terracan Crdi,USED,Automatic,"4 cyl, 2.9 L",4WD,Diesel,10.3 L / 100 km,309385,White / -,"Clontarf, QLD",4 cyl,SUV, 4 Doors, 7 Seats,7500
Toyota,2012,Crown,USED Dealer ad,2012 Toyota Crown,USED,Automatic,-,Other,Unleaded,-,132242,Silver / Black,"Dingley Village, VIC",-,,,,23999
Mercedes-Benz,2014,C200,Sedan,2014 Mercedes-Benz C200,USED,Automatic,"4 cyl, 1.8 L",Rear,Premium,6.8 L / 100 km,112101,Black / -,"Albion, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,20888
Hyundai,2016,Accent,Hatchback,2016 Hyundai Accent Active,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.2 L / 100 km,198722,White / -,"Clontarf, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,11999
Hyundai,2023,Tucson,Hillcrest Hyundai New Cars,2023 Hyundai Tucson Elite (awd),NEW,Automatic,"4 cyl, 1.6 L",AWD,Unleaded,7.1 L / 100 km,12,Silver / -,"Hillcrest, QLD",4 cyl,SUV, 4 Doors, 5 Seats,48697
Toyota,2000,Hilux,Ute / Tray,2000 Toyota Hilux (4X4),USED,Manual,"4 cyl, 3 L",4WD,Diesel,0 L / 100 km,492659,White / -,"Corio, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,7999
Audi,2018,Q7,SUV,2018 Audi Q7 3.0 TDI Quattro,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,5.8 L / 100 km,85380,White / Black,"Tullamarine, VIC",6 cyl,SUV, 4 Doors, 7 Seats,72888
MG,2021,HS,SUV,2021 MG HS Essence Anfield Edition,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3 L / 100 km,24763,Black / Leather,"Redcliffe, QLD",4 cyl,SUV, 4 Doors, 5 Seats,33990
Honda,2009,Jazz,Hatchback,2009 Honda Jazz GLI,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6.6 L / 100 km,55675,Black / Black,"Brooklyn, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,14987
MG,2021,HS,SUV,2021 MG HS Essence Anfield Edition,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3 L / 100 km,17458,White / Leather,"Redcliffe, QLD",4 cyl,SUV, 4 Doors, 5 Seats,33990
Mercedes-Benz,2014,ML63,SUV,2014 Mercedes-Benz ML63 AMG (4X4),USED,Automatic,"8 cyl, 5.5 L",AWD,Premium,11.8 L / 100 km,92000,Silver / -,"Underwood, QLD",8 cyl,SUV, 4 Doors, 5 Seats,55000
Ford,2009,Fiesta,Hatchback,2009 Ford Fiesta CL,USED,Manual,"4 cyl, 1.6 L",Front,Unleaded,6.1 L / 100 km,64000,Black / Blue / Grey,"Clontarf, QLD",4 cyl,Hatchback, 3 Doors, 5 Seats,7497
Mitsubishi,2007,Lancer,Sedan,2007 Mitsubishi Lancer VR-X,USED,Manual,"4 cyl, 2.4 L",Front,Unleaded,9.4 L / 100 km,219764,Gold / -,"Morayfield, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,7990
Mercedes-Benz,2015,B-Class,Centenary Motors,2015 Mercedes-Benz B-Class B200 DCT,USED,Automatic,-,Front,Premium,-,71000,White / Black,"Sumner, QLD",-,Hatchback,,,23250
Ford,2015,Ranger,Ute / Tray,2015 Ford Ranger XLT 3.2 HI-Rider (4X2),USED,Automatic,"5 cyl, 3.2 L",Rear,Diesel,8.5 L / 100 km,240298,White / -,"Parkdale, VIC",5 cyl,Ute / Tray, 4 Doors, 5 Seats,22999
Mitsubishi,2015,Outlander,SUV,2015 Mitsubishi Outlander XLS (4X4),USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,7.5 L / 100 km,140616,Black / Cloth,"Brendale, QLD",4 cyl,SUV, 4 Doors, 7 Seats,21990
Holden,2015,Captiva,SUV,2015 Holden Captiva 7 LTZ (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.1 L / 100 km,97643,White / -,"Newtown, VIC",4 cyl,SUV, 4 Doors, 7 Seats,16990
MG,2021,ZS,SUV,2021 MG ZS EV Essence,USED,Automatic,0 L,Front,Electric,0 L / 100 km,94589,Blue / Black,"Hoppers Crossing, VIC",0 L,SUV, 4 Doors, 5 Seats,32990
Kia,2014,Sorento,SUV,2014 Kia Sorento SI (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.3 L / 100 km,157310,Grey / -,"South Geelong, VIC",4 cyl,SUV, 4 Doors, 7 Seats,19990
Mazda,2023,BT-50,Brighton Mazda New & Demo,2023 Mazda BT-50 GT (4X4),NEW,Automatic,"4 cyl, 3 L",4WD,Diesel,8 L / 100 km,0,Grey / Brown Leather,"Brighton, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,67762
Nissan,2016,Pulsar,Sedan,2016 Nissan Pulsar ST,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.7 L / 100 km,128083,Grey / Black,"Brown Hill, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,14990
Mazda,2010,3,Hatchback,2010 Mazda 3 SP25,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.6 L / 100 km,209633,Silver / -,"Morayfield, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,10989
Mazda,2014,3,Sedan,2014 Mazda 3 Touring,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,5.7 L / 100 km,181687,White / -,"St Albans, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,15999
Toyota,2006,Corolla,Hatchback,2006 Toyota Corolla Ascent Seca,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.4 L / 100 km,152655,Red / Cloth,"Hendra, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,8990
Honda,2019,CR-V,SUV,2019 Honda CR-V VTI-LX (awd),USED,Automatic,"4 cyl, 1.5 L",AWD,Unleaded,7.4 L / 100 km,104132,Blue / Leather Black,"Wendouree, VIC",4 cyl,SUV, 4 Doors, 5 Seats,31777
Nissan,2011,X-Trail,SUV,2011 Nissan X-Trail ST (fwd),USED,Manual,"4 cyl, 2 L",Front,Unleaded,8.5 L / 100 km,72044,Silver / -,"Morayfield, QLD",4 cyl,SUV, 4 Doors, 5 Seats,11989
Hyundai,2015,I30,Hatchback,2015 Hyundai I30 Trophy,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.1 L / 100 km,48400,Silver / -,"Archerfield, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,16999
Holden,2015,Cruze,Sedan,2015 Holden Cruze Equipe,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.4 L / 100 km,81234,White / Black,"Brown Hill, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,13990
Mazda,2011,3,Hatchback,2011 Mazda 3 Maxx,USED,Manual,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,152288,Silver / Black,"Springwood, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,9999
Toyota,2012,Corolla,Hatchback,2012 Toyota Corolla Ascent,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.4 L / 100 km,196960,Silver / Black,"Hendra, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,11990
Ford,2018,Mondeo,Wagon,2018 Ford Mondeo Ambiente Tdci,USED,Automatic,"4 cyl, 2 L",Front,Diesel,5.3 L / 100 km,68454,Silver / Grey,"Geelong, VIC",4 cyl,Wagon, 4 Doors, 5 Seats,23990
Nissan,2017,Navara,Ute / Tray,2017 Nissan Navara ST (4X4),USED,Automatic,"4 cyl, 2.3 L",4WD,Diesel,7 L / 100 km,214767,White / Black,"Eagle Farm, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,28990
Mazda,2011,CX-9,SUV,2011 Mazda CX-9 Luxury,USED,Automatic,"6 cyl, 3.7 L",4WD,Unleaded,11.3 L / 100 km,186858,Black / -,"Morayfield, QLD",6 cyl,SUV, 4 Doors, 7 Seats,14990
Subaru,2006,Impreza,Hatchback,2006 Subaru Impreza 2.0I (awd),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,9.3 L / 100 km,142000,Silver / -,"Archerfield, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,9999
Kia,2018,Stinger,Sedan,2018 Kia Stinger GT (black Leather),USED,Automatic,"6 cyl, 3.3 L",Rear,Unleaded,10.2 L / 100 km,62500,Silver / -,"Wendouree, VIC",6 cyl,Sedan, 4 Doors, 5 Seats,58777
Ford,2013,Transit,Commercial,2013 Ford Transit LOW (swb),USED,Manual,"4 cyl, 2.2 L",Front,Diesel,7.2 L / 100 km,89315,White / -,"Rocklea, QLD",4 cyl,Commercial, 2 Doors, 3 Seats,18999
Renault,2017,Megane,Wagon,2017 Renault Megane GT-Line,USED,Automatic,"4 cyl, 1.2 L",Front,Premium,5.6 L / 100 km,63081,Blue / -,"Wendouree, VIC",4 cyl,Wagon, 4 Doors, 5 Seats,25990
Audi,2007,Q7,SUV,2007 Audi Q7 4.2 FSI Quattro,USED,Automatic,"8 cyl, 4.2 L",AWD,Premium,13.6 L / 100 km,200000,Grey / Black,"South Melbourne, VIC",8 cyl,SUV, 4 Doors, 5 Seats,14950
Mazda,1999,MX-5,Convertible,1999 Mazda MX-5,USED,Manual,"4 cyl, 1.8 L",Rear,Unleaded,9 L / 100 km,304382,Blue / -,"Braybrook, VIC",4 cyl,Convertible, 2 Doors, 2 Seats,7788
Toyota,2015,Landcruiser,SUV,2015 Toyota Landcruiser GXL (4X4),USED,Automatic,"8 cyl, 4.5 L",4WD,Diesel,9.5 L / 100 km,214453,White / Grey,"Ningi, QLD",8 cyl,SUV, 4 Doors, 7 Seats,64950
Land,2019,Rover,SUV,2019 Land Rover Range Rover Sport SDV6 SE (183KW),USED,Automatic,"6 cyl, 3 L",AWD,Diesel,7.8 L / 100 km,48995,Blue / Ebony Seats/Ebony Interior/Ebony Headlining,"Geelong, VIC",6 cyl,SUV, 4 Doors, 5 Seats,129900
Volkswagen,2007,Golf,Hatchback,2007 Volkswagen Golf 2.0 FSI Comfortline,USED,Automatic,"4 cyl, 2 L",Front,Premium,8 L / 100 km,175502,Silver / -,"Laverton North, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,8999
MG,2023,ZST,Springwood MG - New,2023 MG ZST Excite,NEW,Automatic,"3 cyl, 1.3 L",Front,-,7.3 L / 100 km,0,Silver / -,"Springwood, QLD",3 cyl,SUV, 5 Doors, 5 Seats,32690
Holden,2010,Cruze,Sedan,2010 Holden Cruze CDX,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,7 L / 100 km,80200,Silver / Black,"Maidstone, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,7490
Toyota,2017,Hilux,Ute / Tray,2017 Toyota Hilux Workmate,USED,Manual,"4 cyl, 2.4 L",Rear,Diesel,7.7 L / 100 km,179816,White / -,"Bentleigh East, VIC",4 cyl,Ute / Tray, 2 Doors, 2 Seats,22990
Ford,2006,Escape,SUV,2006 Ford Escape XLT,USED,Automatic,"6 cyl, 3 L",4WD,Unleaded,12.2 L / 100 km,196193,Silver / Grey,"Mount Pleasant, VIC",6 cyl,SUV, 4 Doors, 5 Seats,7990
GWM,2022,Haval,"Westpoint Haval, GWM, Mahindra, SsangYong",2022 GWM Haval Jolion Ultra Hybrid,NEW,Automatic,"4 cyl, 1.5 L",Front,Hybrid,5 L / 100 km,20,Red / -,"Moorooka, QLD",4 cyl,SUV, 4 Doors, 5 Seats,41485
Volkswagen,2022,Amarok,Chadstone Toyota,2022 Volkswagen Amarok TDI420 Core 4Motion,USED,Automatic,-,Other,Diesel,-,42631,White / -,"Oakleigh, VIC",-,Ute / Tray,,,48547
Porsche,2015,Cayenne,SUV,2015 Porsche Cayenne Diesel,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,6.8 L / 100 km,148500,White / Black,"Strathpine, QLD",6 cyl,SUV, 4 Doors, 5 Seats,47990
Toyota,2018,Corolla,Hatchback,2018 Toyota Corolla Ascent Sport,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.1 L / 100 km,62982,Red / -,"Rocklea, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,24925
Toyota,2014,Camry,Sedan,2014 Toyota Camry Altise,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.8 L / 100 km,186624,White / Grey  Cloth,"West Footscray, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,17990
Nissan,2013,Patrol,SUV,2013 Nissan Patrol ST (4X4),USED,Manual,"4 cyl, 3 L",4WD,Diesel,10.9 L / 100 km,174508,Silver / -,"Morayfield, QLD",4 cyl,SUV, 4 Doors, 7 Seats,36990
Holden,2006,Commodore,Sedan,2006 Holden Commodore SV6,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,11.4 L / 100 km,323594,Blue / Black,"West Footscray, VIC",6 cyl,Sedan, 4 Doors, 5 Seats,7499
Toyota,2021,Landcruiser,SUV,2021 Toyota Landcruiser 70 Series GXL 70TH Anniversary Spec EDT,USED,Manual,"8 cyl, 4.5 L",4WD,Diesel,10.7 L / 100 km,36690,White / Black,"Geelong, VIC",8 cyl,SUV, 4 Doors, 5 Seats,130000
Holden,2011,Commodore,Sedan,2011 Holden Commodore Berlina,USED,Automatic,"6 cyl, 3 L",Rear,Unleaded,9.3 L / 100 km,148540,Silver / -,"Slacks Creek, QLD",6 cyl,Sedan, 4 Doors, 5 Seats,13990
Subaru,2007,Forester,SUV,2007 Subaru Forester X,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,9.7 L / 100 km,131515,Red / Grey,"Footscray, VIC",4 cyl,SUV, 4 Doors, 5 Seats,10999
Mercedes-Benz,2016,GLE350,SUV,2016 Mercedes-Benz GLE350 D 4Matic,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,6.6 L / 100 km,56000,Silver / Black,"Sebastopol, VIC",6 cyl,SUV, 4 Doors, 5 Seats,61990
Hyundai,2020,I30,Hatchback,2020 Hyundai I30 Active,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,49822,Silver / Black  Cloth,"Alexandra Headland, QLD",4 cyl,Hatchback, 4 Doors, 5 Seats,22990
Suzuki,2023,Swift,Q Suzuki - New,2023 Suzuki Swift Sport Turbo,NEW,Manual,"4 cyl, 1.4 L",Front,Unleaded,6.1 L / 100 km,0,Grey / -,"Springwood, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,34680
Toyota,2023,RAV4,SUV,2023 Toyota RAV4 Cruiser (awd) Hybrid,USED,Automatic,"4 cyl, 2.5 L",AWD,Hybrid,4.8 L / 100 km,66,White / Black Leather Accented,"Keysborough, VIC",4 cyl,SUV, 5 Doors, 5 Seats,76888
Mitsubishi,2017,Outlander,SUV,2017 Mitsubishi Outlander LS (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.6 L / 100 km,90248,White / -,"Currimundi, QLD",4 cyl,SUV, 4 Doors, 7 Seats,24990
Honda,2005,CR-V,SUV,2005 Honda CR-V (4X4) Sport,USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,9 L / 100 km,265000,White / -,"Archerfield, QLD",4 cyl,SUV, 4 Doors, 5 Seats,8500
Nissan,2009,Elgrand,USED Dealer ad,2009 Nissan Elgrand Highway Star,USED,Automatic,-,Other,Unleaded,-,98978,White / Black,"Mooloolaba, QLD",-,,,,21995
Toyota,2010,Kluger,SUV,2010 Toyota Kluger KX-R (fwd) 7 Seat,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,11 L / 100 km,226831,Blue / -,"Slacks Creek, QLD",6 cyl,SUV, 4 Doors, 7 Seats,16990
LDV,2021,D90,SUV,2021 LDV D90 Executive (2WD),USED,Automatic,"4 cyl, 2 L",Rear,Unleaded,10.2 L / 100 km,16110,Blue / -,"Maroochydore, QLD",4 cyl,SUV, 4 Doors, 7 Seats,35990
Jeep,2014,Grand,SUV,2014 Jeep Grand Cherokee Overland (4X4),USED,Automatic,"6 cyl, 3.6 L",4WD,Premium,10.4 L / 100 km,108076,Black / -,"Stafford, QLD",6 cyl,SUV, 4 Doors, 5 Seats,18990
Mazda,2019,BT-50,Sunbury Ford,2019 Mazda BT-50 GT,USED,Manual,-,Other,Diesel,-,74523,White / Black,"Sunbury, VIC",-,Ute / Tray,,,43490
Isuzu,2016,MU-X,Pacific Isuzu Used Cars,2016 Isuzu MU-X LS-T Rev-Tronic,USED,Automatic,-,Other,Diesel,-,161412,White / -,"Buderim, QLD",-,Wagon,,,37990
Holden,2015,Calais,Wagon,2015 Holden Calais V,USED,Automatic,"8 cyl, 6 L",Rear,Premium,14.6 L / 100 km,118042,Black / Black,"Ararat, VIC",8 cyl,Wagon, 4 Doors, 5 Seats,44990
Ford,2014,Territory,SUV,2014 Ford Territory TX (rwd),USED,Automatic,"6 cyl, 2.7 L",Rear,Diesel,8.2 L / 100 km,203114,Black / Black,"Footscray, VIC",6 cyl,SUV, 4 Doors, 5 Seats,11999
Nissan,2022,Patrol,Qld 4x4 Pty Ltd,2022 Nissan Patrol TI,USED,Automatic,-,Other,Unleaded,-,26681,Grey / -,"Baringa, QLD",-,Wagon,,,97499
Kia,2022,Cerato,Hatchback,2022 Kia Cerato GT,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.8 L / 100 km,23000,White / 2022/05,"Albion, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,36950
Nissan,2008,Elgrand,USED Dealer ad,2008 Nissan Elgrand X,USED,Automatic,-,Other,Unleaded,-,36921,Silver / Cream,"Mooloolaba, QLD",-,,,,18995
Renault,2023,Koleos,"Brighton Renault, Suzuki & Nissan New",2023 Renault Koleos Intens (4X2),DEMO,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.1 L / 100 km,3300,Red / Black,"Bentleigh, VIC",4 cyl,SUV, 4 Doors, 5 Seats,44990
Nissan,2018,X-Trail,SUV,2018 Nissan X-Trail ST (2WD),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,109591,White / Cloth,"Kunda Park, QLD",4 cyl,SUV, 4 Doors, 5 Seats,24990
Honda,2003,Accord,Sedan,2003 Honda Accord Euro Luxury,USED,Automatic,"4 cyl, 2.4 L",Front,Premium,9.4 L / 100 km,313628,Grey / -,"Braybrook, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,6799
Ford,2013,Kuga,SUV,2013 Ford Kuga Trend (awd),USED,Automatic,"4 cyl, 2 L",AWD,Diesel,6.3 L / 100 km,199133,Blue / -,"Maroochydore, QLD",4 cyl,SUV, 4 Doors, 5 Seats,15111
Toyota,2009,Vellfire,Altous Motors,2009 Toyota Vellfire 2.4Z PLATINUM,USED,Automatic,-,Other,Unleaded,-,95000,Red / Black,"Oakleigh South, VIC",-,Wagon,,,20882
Nissan,2019,X-Trail,SUV,2019 Nissan X-Trail ST 7 Seat (2WD) (5YR),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.1 L / 100 km,55961,Blue / -,"Maroochydore, QLD",4 cyl,SUV, 4 Doors, 7 Seats,27990
Renault,2014,Trafic,Commercial,2014 Renault Trafic 2.0 DCI SWB,USED,Manual,"4 cyl, 2 L",Front,Diesel,8.3 L / 100 km,255897,White / Grey,"West Footscray, VIC",4 cyl,Commercial, 2 Doors, 3 Seats,17990
Toyota,2020,Corolla,Hatchback,2020 Toyota Corolla Ascent Sport Hybrid,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.2 L / 100 km,54190,White / Black,"Cheltenham, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,29500
Ford,2009,Territory,SUV,2009 Ford Territory TS (rwd),USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,12.8 L / 100 km,218298,Green / -,"Deer Park, VIC",6 cyl,SUV, 4 Doors, 5 Seats,12999
GWM,2022,Ute,NEW In stock,2022 GWM Ute Cannon XSR,NEW,Automatic,-,Other,Diesel,-,22,Black / Black,"Caloundra West, QLD",-,Ute / Tray,,,53585
Toyota,2010,Vellfire,Automobex Pty Ltd,2010 Toyota Vellfire,USED,Automatic,-,Other,Unleaded,-,63365,White / Black,"Dingley Village, VIC",-,Wagon,,,25999
Toyota,2017,Camry,Sedan,2017 Toyota Camry Altise,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,117114,Silver / -,"Noosaville, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,19990
Nissan,2015,Micra,Hatchback,2015 Nissan Micra ST,USED,Manual,"3 cyl, 1.2 L",Front,Unleaded,5.9 L / 100 km,56820,White / Black,"Oakleigh, VIC",3 cyl,Hatchback, 5 Doors, 5 Seats,13395
Volkswagen,2021,T-Cross,SUV,2021 Volkswagen T-Cross 85TSI Life,USED,Automatic,"3 cyl, 1 L",Front,Premium,5.4 L / 100 km,35231,Grey / Black,"Maroochydore, QLD",3 cyl,SUV, 4 Doors, 5 Seats,29990
Ford,2006,Territory,SUV,2006 Ford Territory Ghia Turbo (4X4),USED,Automatic,"6 cyl, 4 L",AWD,Unleaded,14.2 L / 100 km,231079,Grey / Black,"Ravenhall, VIC",6 cyl,SUV, 4 Doors, 5 Seats,15999
BMW,2017,X3,SUV,2017 BMW X3 Xdrive 30D,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,6 L / 100 km,120000,Black / -,"Sippy Downs, QLD",6 cyl,SUV, 4 Doors, 5 Seats,42997
Volkswagen,2018,Golf,Hatchback,2018 Volkswagen Golf 110 TSI Trendline,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.4 L / 100 km,29324,White / Black,"Carrum Downs, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,25990
